 ,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Macedo De Cavaleiros,PT,41.5382,-6.9611,61.32,46,4,13.29,clear sky
327,Sibolga,ID,1.7427,98.7792,75.27,90,61,3.18,broken clouds
328,Narsaq,GL,60.9167,-46.05,50.22,96,100,3.44,overcast clouds
329,Karratha,AU,-20.7377,116.8463,69.75,55,52,4.72,broken clouds
330,Nome,US,64.5011,-165.4064,50.16,76,90,14.97,overcast clouds
331,Rochester,US,43.1548,-77.6156,93.09,60,75,16.11,broken clouds
332,Jijiga,ET,9.35,42.8,67.14,69,89,7.29,overcast clouds
333,Tanete,ID,-3.9443,119.7848,73.58,96,87,3.91,overcast clouds
334,Lumeje,AO,-11.55,20.7833,67.21,28,42,4.43,scattered clouds
335,Raghogarh,IN,24.45,77.2,93.25,37,79,13.53,broken clouds
336,Broome,US,42.2506,-75.833,93.02,56,1,4.0,clear sky
337,Alamos,MX,27.0167,-108.9333,95.14,31,53,4.68,broken clouds
338,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75,broken clouds
339,Port Moresby,PG,-9.4431,147.1797,74.26,92,62,5.68,broken clouds
340,Springfield,US,37.2153,-93.2982,85.89,78,75,10.36,broken clouds
341,Sisimiut,GL,66.9395,-53.6735,37.18,91,100,5.39,overcast clouds
342,Mizdah,LY,31.4451,12.9801,95.18,16,51,16.8,broken clouds
343,Tavricheskoye,RU,54.5851,73.6395,66.11,81,74,6.51,broken clouds
344,Balakovo,RU,52.0278,47.8007,80.94,56,12,10.4,few clouds
345,Yura,PE,-16.2522,-71.6797,68.52,12,20,10.36,few clouds
346,Katobu,ID,-4.9408,122.5276,73.33,97,80,4.32,broken clouds
